,Label,Message
0,financial,Bill dated 2013-01-14 for Rs 626 has been generated for your Aircel fixedline/broadband relationship no. 66264666. The same will reach you by 2013-01-17. Due date: 2013-01-29.
1,financial,Bill dated 2014-11-30 for Rs 323 has been generated for your Reliance fixedline/broadband relationship no. 48666878. The same will reach you by 2014-12-03. Due date: 2014-12-15.
2,financial,"Repair ref.no for your car is JC22723666 opened on 2015-03-09 3:39hrs,ETD of your car is 2015-03-10 3:46hrs and est.repair amt is Rs.534 Rgds, Maha Veer Auto Agency"
3,financial,"Repair ref.no for your car is JC53254811 opened on 2010-11-19 18:15hrs,ETD of your car is 2010-11-20 11:34hrs and est.repair amt is Rs.1359 Rgds, Bimal Auto Agency"
4,financial,Bill dated 2012-09-07 for Rs 501 has been generated for your Airtel fixedline/broadband relationship no. 73346675. The same will reach you by 2012-09-10. Due date: 2012-09-22.
5,financial,"Repair ref.no for your car is JC32737582 opened on 2013-07-13 5:56hrs,ETD of your car is 2013-07-14 3:17hrs and est.repair amt is Rs.1345 Rgds, Maha Veer Auto Agency"
6,financial,Bill dated 2010-01-27 for Rs 273 has been generated for your Jio fixedline/broadband relationship no. 73242236. The same will reach you by 2010-01-30. Due date: 2010-02-11.
7,financial,Bill dated 2009-10-20 for Rs 1080 has been generated for your Bsnl fixedline/broadband relationship no. 52551363. The same will reach you by 2009-10-23. Due date: 2009-11-04.
8,financial,"Repair ref.no for your car is JC33438784 opened on 2010-03-05 15:27hrs,ETD of your car is 2010-03-06 12:37hrs and est.repair amt is Rs.2798 Rgds, Maha Veer Auto Agency"
9,financial,Bill dated 2009-11-07 for Rs 496 has been generated for your Bsnl fixedline/broadband relationship no. 68838354. The same will reach you by 2009-11-10. Due date: 2009-11-22.
10,financial,Bill dated 2013-10-07 for Rs 484 has been generated for your Aircel fixedline/broadband relationship no. 42645337. The same will reach you by 2013-10-10. Due date: 2013-10-22.
11,financial,Bill dated 2010-12-14 for Rs 154 has been generated for your Bsnl fixedline/broadband relationship no. 21426361. The same will reach you by 2010-12-17. Due date: 2010-12-29.
12,financial,"Repair ref.no for your car is JC63828242 opened on 2010-11-17 18:25hrs,ETD of your car is 2010-11-18 18:17hrs and est.repair amt is Rs.2004 Rgds, Hyundai Auto Agency"
13,financial,"Repair ref.no for your car is JC26331372 opened on 2015-02-15 17:49hrs,ETD of your car is 2015-02-16 20:13hrs and est.repair amt is Rs.636 Rgds, Maruti Auto Agency"
14,financial,Bill dated 2011-02-22 for Rs 226 has been generated for your Docomo fixedline/broadband relationship no. 74443544. The same will reach you by 2011-02-25. Due date: 2011-03-09.
15,financial,Bill dated 2010-11-01 for Rs 640 has been generated for your Bsnl fixedline/broadband relationship no. 18162231. The same will reach you by 2010-11-04. Due date: 2010-11-16.
16,financial,"Repair ref.no for your car is JC85383147 opened on 2015-07-25 14:33hrs,ETD of your car is 2015-07-26 7:47hrs and est.repair amt is Rs.211 Rgds, Hyundai Auto Agency"
17,financial,Bill dated 2015-02-16 for Rs 673 has been generated for your Bsnl fixedline/broadband relationship no. 14717716. The same will reach you by 2015-02-19. Due date: 2015-03-03.
18,financial,"Repair ref.no for your car is JC12678461 opened on 2012-09-28 15:36hrs,ETD of your car is 2012-09-29 3:22hrs and est.repair amt is Rs.1548 Rgds, Hyundai Auto Agency"
