,Label,Message
6794,nonfinancial,K:)eng rocking in ashes:)
1534,financial,Bill dated 2013-06-12 for Rs 549 has been generated for your Reliance fixedline/broadband relationship no. 62585476. The same will reach you by 2013-06-15. Due date: 2013-06-27.
4515,nonfinancial,I know complain num only..bettr directly go to bsnl offc nd apply for it..
749,financial,"Repair ref.no for your car is JC66218347 opened on 2012-04-29 19:23hrs,ETD of your car is 2012-04-30 8:16hrs and est.repair amt is Rs.1987 Rgds, Sarden Auto Agency"
2284,nonfinancial,Ok no prob. Take ur time.
3587,nonfinancial,Yup ok thanx...
4299,nonfinancial,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel
3328,nonfinancial,I will see in half an hour
2345,nonfinancial,\Wen u miss someone
5872,nonfinancial,At the funeral home with Audrey and dad
3939,nonfinancial,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
6465,nonfinancial,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
2789,nonfinancial,Got it! It looks scrumptious... daddy wants to eat you all night long!
5620,nonfinancial,I had it already..sabarish asked me to go..
253,financial,Bill dated 2010-12-19 for Rs 852 has been generated for your Reliance fixedline/broadband relationship no. 12273481. The same will reach you by 2010-12-22. Due date: 2011-01-03.
5214,nonfinancial,Yeah but which is worse for i
6242,nonfinancial,Can Ì_ send me a copy of da report?
2676,nonfinancial,I have many dependents
6828,nonfinancial,if you text on your way to cup stop that should work. And that should be BUS
4120,nonfinancial,.Please charge my mobile when you get up in morning.
7070,nonfinancial,Oh k. . I will come tomorrow
7515,nonfinancial,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
6673,nonfinancial,Just glad to be talking to you.
7213,nonfinancial,Pls call me da. What happen.
129,financial,"Repair ref.no for your car is JC13714253 opened on 2009-09-06 23:13hrs,ETD of your car is 2009-09-07 16:28hrs and est.repair amt is Rs.1715 Rgds, Maruti Auto Agency"
7564,nonfinancial,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
3363,nonfinancial,Great to hear you are settling well. So what's happenin wit ola?
7580,nonfinancial,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
3950,nonfinancial,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs 
6312,nonfinancial,Loosu go to hospital. De dont let it careless.
4513,nonfinancial,Then she dun believe wat?
5638,nonfinancial,And do you have any one that can teach me how to ship cars.
1039,financial,Bill dated 2013-03-13 for Rs 287 has been generated for your Bsnl fixedline/broadband relationship no. 55414587. The same will reach you by 2013-03-16. Due date: 2013-03-28.
3896,nonfinancial,What time is ur flight tmr?
908,financial,"Repair ref.no for your car is JC56661252 opened on 2011-08-08 21:28hrs,ETD of your car is 2011-08-09 2:41hrs and est.repair amt is Rs.1138 Rgds, Aryan Auto Agency"
6081,nonfinancial,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""""
6167,nonfinancial,Do u hav any frnd by name ashwini in ur college?
770,financial,Bill dated 2011-12-05 for Rs 967 has been generated for your Airtel fixedline/broadband relationship no. 16221467. The same will reach you by 2011-12-08. Due date: 2011-12-20.
4929,nonfinancial,Smith waste da.i wanna gayle.
2672,nonfinancial,Neva mind it's ok..
7127,nonfinancial,I dunno lei... Like dun haf...
7413,nonfinancial,I'm home...
7610,nonfinancial,Ic. There are a lotta childporn cars then.
7193,nonfinancial,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
1675,financial,Bill dated 2012-10-08 for Rs 575 has been generated for your Bsnl fixedline/broadband relationship no. 24832282. The same will reach you by 2012-10-11. Due date: 2012-10-23.
5159,nonfinancial,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
4528,nonfinancial,They will pick up and drop in car.so no problem..
7525,nonfinancial,Ok i thk i got it. Then u wan me 2 come now or wat?
6569,nonfinancial,When are you guys leaving?
5802,nonfinancial,Did you stitch his trouser
158,financial,Bill dated 2012-04-19 for Rs 108 has been generated for your Airtel fixedline/broadband relationship no. 84466855. The same will reach you by 2012-04-22. Due date: 2012-05-04.
1264,financial,Bill dated 2010-12-07 for Rs 105 has been generated for your Aircel fixedline/broadband relationship no. 82581424. The same will reach you by 2010-12-10. Due date: 2010-12-22.
3746,nonfinancial,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
4006,nonfinancial,K...k:)why cant you come here and search job:)
3269,nonfinancial,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
1490,financial,"Repair ref.no for your car is JC54457577 opened on 2012-08-15 2:24hrs,ETD of your car is 2012-08-16 20:48hrs and est.repair amt is Rs.690 Rgds, Hyundai Auto Agency"
3087,nonfinancial,May i call You later Pls
1031,financial,Bill dated 2013-11-23 for Rs 805 has been generated for your Idea fixedline/broadband relationship no. 84864586. The same will reach you by 2013-11-26. Due date: 2013-12-08.
1844,financial,Bill dated 2015-06-01 for Rs 310 has been generated for your Reliance fixedline/broadband relationship no. 18777655. The same will reach you by 2015-06-04. Due date: 2015-06-16.
5794,nonfinancial,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
7104,nonfinancial,She ran off with a younger man. we will make pretty babies together :)
7486,nonfinancial,Ok k..sry i knw 2 siva..tats y i askd..
7453,nonfinancial,Ok.ok ok..then..whats ur todays plan
6375,nonfinancial,I keep ten rs in my shelf:) buy two egg.
6446,nonfinancial,No need lar i go engin? Cos my sis at arts today...
2296,nonfinancial,"Sorry battery died, yeah I'm here"
5913,nonfinancial,I to am looking forward to all the sex cuddling.. Only two more sleeps 
5735,nonfinancial," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
2875,nonfinancial,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
2617,nonfinancial,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
11,financial,Bill dated 2010-12-14 for Rs 154 has been generated for your Bsnl fixedline/broadband relationship no. 21426361. The same will reach you by 2010-12-17. Due date: 2010-12-29.
3025,nonfinancial,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
7199,nonfinancial,Sorry * was at the grocers.
4334,nonfinancial,U know we watchin at lido?
4209,nonfinancial,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
